name,owner,stars,status,description,topics,tags
nldates-obsidian,argenos,573,200,Work with dates in natural language in Obsidian,obsidian-md;obsidian-plugin,other
hotkeysplus-obsidian,argenos,128,200,"Adds hotkeys to toggle todos, ordered/unordered lists and blockquotes in Obsidian",obsidian-md;obsidian-plugin,productivity
obsidian-git,Vinzent03,8323,200,Integrate Git version control with automatic commit-and-sync and other advanced features in Obsidian.md,obsidian-md;obsidian-plugin;obsidian;git,integration
obsidian-url-into-selection,denolehov,386,200,"Paste URLs into selected text ""notion style""",obsidian-md;obsidian-plugin;obsidian,other
advanced-tables-obsidian,tgrosinger,2280,200,"Improved table navigation, formatting, and manipulation in Obsidian.md",obsidian-md;obsidian-plugin,other
leader-hotkeys-obsidian,tgrosinger,86,200,Use a leader-key (tmux style) for hotkeys in Obsidian.md,obsidian-md;obsidian-plugin,other
recent-files-obsidian,tgrosinger,425,200,Display a list of most recently opened files,obsidian-md;obsidian-plugin,other
ledger-obsidian,tgrosinger,486,200,Plain text accounting in Obsidian.md,obsidian-plugin;obsidian-md;ledger;ledger-cli,other
note-refactor-obsidian,lynchjames,577,200,Allows for text selections to be copied (refactored) into new notes and notes to be split into other notes.,obsidian-plugin;obsidian-md,note-taking
obsidian-calendar-plugin,liamcain,1854,200,Simple calendar widget for Obsidian.,obsidian-md;obsidian-plugin,note-taking
obsidian-text-expand,mrjackphil,187,200,A simple text expand plugin for Obsidian.md,obsidian-md;obsidian-plugin,other
obsidian-jump-to-link,mrjackphil,152,200,Quick jump between links using hotkeys,obsidian-plugin;obsidian-md,other
obsidian-reading-time,avr,69,200,,obsidian-md;obsidian-plugin,other
obsidian-todoist-plugin,jamiebrynes7,1033,200,Materialize Todoist tasks in Obsidian notes,obsidian;obsidian-plugin;todoist;obsidian-md,note-taking;productivity
obsidian-vimrc-support,esm7,1284,200,A plugin for the Obsidian.md note-taking software,obsidian-plugin,note-taking
Obsidian-shortcuts-extender,ryjjin,73,200,Plugin for Obsidian: Use shortcuts for input special symbols and changing level of headings without language switching,obsidian;obsidian-plugin,other
obsidian-crosslink-between-notes,mrjackphil,38,200,This plugin adds a command which allows to add a link to the current note at the bottom of selected notes,obsidian-plugin;obsidian-md,note-taking
obsidian-switcher-plus,darlal,516,200,Enhanced Quick Switcher plugin for Obsidian.md,obsidian-plugin;obsidian-md,other
